Source Name	Characteristics[organism]	Characteristics[taxonomy_id]	Characteristics[strain]	Characteristics[genotype]	Characteristics[cell_line]	Characteristics[disease]	Characteristics[tissue]	Characteristics[sample_type]	Characteristics[stimulus]	Characteristics[treatment]	Characteristics[compound]	Characteristics[amount]	Unit[mole based unit]	Comment[BioSample]	Comment[sample_title]	Protocol REF	Sample Name	Comment[Protocol subtype]	Protocol REF	Parameter Value[Post extraction]	Parameter Value[Derivatization]	Extract Name	Protocol REF	Parameter Value[Chromatography instrument]	Parameter Value[Autosampler model]	Parameter Value[Column model]	Parameter Value[Column type]	Parameter Value[Guard column]	Labeled Extract Name	Label	Protocol REF	Parameter Value[Scan polarity]	Parameter Value[Scan m/z range]	Parameter Value[Instrument]	Parameter Value[Ion source]	Parameter Value[Mass analyzer]	Assay Name	Comment[technical_replicate]	Raw Data File	Protocol REF	Processed Data File	Protocol REF	Metabolite Assignment File	Factor Value[genotype]	Factor Value[cell_line]	Factor Value[sample_type]	Factor Value[stimulus]	Factor Value[treatment]	Factor Value[amount]	Unit[mole based unit]
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424372	Figure.1_3 calibration_curve_10fmol-2	Sample collection	Figure.1_3 calibration_curve_10fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_3 calibration_curve_10fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_3 calibration_curve_10fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_3 calibration_curve_10fmol-2			Data processing	Figure.1_3 calibration_curve_10fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						10	femtomole
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424373	Figure.1_3 calibration_curve_10fmol-3	Sample collection	Figure.1_3 calibration_curve_10fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_3 calibration_curve_10fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_3 calibration_curve_10fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_3 calibration_curve_10fmol-3			Data processing	Figure.1_3 calibration_curve_10fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						10	femtomole
chemical standard	unidentified	32644									phosphoinositide	10	femtomole	SAMD00424374	Figure.1_3 calibration_curve_10fmol-4	Sample collection	Figure.1_3 calibration_curve_10fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_3 calibration_curve_10fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_3 calibration_curve_10fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_3 calibration_curve_10fmol-4			Data processing	Figure.1_3 calibration_curve_10fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						10	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424375	Figure.1_4 calibration_curve_20fmol-1	Sample collection	Figure.1_4 calibration_curve_20fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_4 calibration_curve_20fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_4 calibration_curve_20fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_4 calibration_curve_20fmol-1			Data processing	Figure.1_4 calibration_curve_20fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424376	Figure.1_4 calibration_curve_20fmol-2	Sample collection	Figure.1_4 calibration_curve_20fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_4 calibration_curve_20fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_4 calibration_curve_20fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_4 calibration_curve_20fmol-2			Data processing	Figure.1_4 calibration_curve_20fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424377	Figure.1_4 calibration_curve_20fmol-3	Sample collection	Figure.1_4 calibration_curve_20fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_4 calibration_curve_20fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_4 calibration_curve_20fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_4 calibration_curve_20fmol-3			Data processing	Figure.1_4 calibration_curve_20fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	20	femtomole	SAMD00424378	Figure.1_4 calibration_curve_20fmol-4	Sample collection	Figure.1_4 calibration_curve_20fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_4 calibration_curve_20fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_4 calibration_curve_20fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_4 calibration_curve_20fmol-4			Data processing	Figure.1_4 calibration_curve_20fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						20	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424379	Figure.1_5 calibration_curve_50fmol-1	Sample collection	Figure.1_5 calibration_curve_50fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_5 calibration_curve_50fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_5 calibration_curve_50fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_5 calibration_curve_50fmol-1			Data processing	Figure.1_5 calibration_curve_50fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424380	Figure.1_5 calibration_curve_50fmol-2	Sample collection	Figure.1_5 calibration_curve_50fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_5 calibration_curve_50fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_5 calibration_curve_50fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_5 calibration_curve_50fmol-2			Data processing	Figure.1_5 calibration_curve_50fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424381	Figure.1_5 calibration_curve_50fmol-3	Sample collection	Figure.1_5 calibration_curve_50fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_5 calibration_curve_50fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_5 calibration_curve_50fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_5 calibration_curve_50fmol-3			Data processing	Figure.1_5 calibration_curve_50fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	50	femtomole	SAMD00424382	Figure.1_5 calibration_curve_50fmol-4	Sample collection	Figure.1_5 calibration_curve_50fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_5 calibration_curve_50fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_5 calibration_curve_50fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_5 calibration_curve_50fmol-4			Data processing	Figure.1_5 calibration_curve_50fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						50	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424383	Figure.1_6 calibration_curve_100fmol-1	Sample collection	Figure.1_6 calibration_curve_100fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_6 calibration_curve_100fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_6 calibration_curve_100fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_6 calibration_curve_100fmol-1			Data processing	Figure.1_6 calibration_curve_100fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424384	Figure.1_6 calibration_curve_100fmol-2	Sample collection	Figure.1_6 calibration_curve_100fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_6 calibration_curve_100fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_6 calibration_curve_100fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_6 calibration_curve_100fmol-2			Data processing	Figure.1_6 calibration_curve_100fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424385	Figure.1_6 calibration_curve_100fmol-3	Sample collection	Figure.1_6 calibration_curve_100fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_6 calibration_curve_100fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_6 calibration_curve_100fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_6 calibration_curve_100fmol-3			Data processing	Figure.1_6 calibration_curve_100fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	100	femtomole	SAMD00424386	Figure.1_6 calibration_curve_100fmol-4	Sample collection	Figure.1_6 calibration_curve_100fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_6 calibration_curve_100fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_6 calibration_curve_100fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_6 calibration_curve_100fmol-4			Data processing	Figure.1_6 calibration_curve_100fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						100	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424387	Figure.1_7 calibration_curve_200fmol-1	Sample collection	Figure.1_7 calibration_curve_200fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_7 calibration_curve_200fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_7 calibration_curve_200fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_7 calibration_curve_200fmol-1			Data processing	Figure.1_7 calibration_curve_200fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424388	Figure.1_7 calibration_curve_200fmol-2	Sample collection	Figure.1_7 calibration_curve_200fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_7 calibration_curve_200fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_7 calibration_curve_200fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_7 calibration_curve_200fmol-2			Data processing	Figure.1_7 calibration_curve_200fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424389	Figure.1_7 calibration_curve_200fmol-3	Sample collection	Figure.1_7 calibration_curve_200fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_7 calibration_curve_200fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_7 calibration_curve_200fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_7 calibration_curve_200fmol-3			Data processing	Figure.1_7 calibration_curve_200fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	200	femtomole	SAMD00424390	Figure.1_7 calibration_curve_200fmol-4	Sample collection	Figure.1_7 calibration_curve_200fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_7 calibration_curve_200fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_7 calibration_curve_200fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_7 calibration_curve_200fmol-4			Data processing	Figure.1_7 calibration_curve_200fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						200	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424391	Figure.1_8 calibration_curve_500fmol-1	Sample collection	Figure.1_8 calibration_curve_500fmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_8 calibration_curve_500fmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_8 calibration_curve_500fmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_8 calibration_curve_500fmol-1			Data processing	Figure.1_8 calibration_curve_500fmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424392	Figure.1_8 calibration_curve_500fmol-2	Sample collection	Figure.1_8 calibration_curve_500fmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_8 calibration_curve_500fmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_8 calibration_curve_500fmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_8 calibration_curve_500fmol-2			Data processing	Figure.1_8 calibration_curve_500fmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424393	Figure.1_8 calibration_curve_500fmol-3	Sample collection	Figure.1_8 calibration_curve_500fmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_8 calibration_curve_500fmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_8 calibration_curve_500fmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_8 calibration_curve_500fmol-3			Data processing	Figure.1_8 calibration_curve_500fmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	500	femtomole	SAMD00424394	Figure.1_8 calibration_curve_500fmol-4	Sample collection	Figure.1_8 calibration_curve_500fmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_8 calibration_curve_500fmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_8 calibration_curve_500fmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_8 calibration_curve_500fmol-4			Data processing	Figure.1_8 calibration_curve_500fmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						500	femtomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424395	Figure.1_9 calibration_curve_1pmol-1	Sample collection	Figure.1_9 calibration_curve_1pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_9 calibration_curve_1pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_9 calibration_curve_1pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_9 calibration_curve_1pmol-1			Data processing	Figure.1_9 calibration_curve_1pmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						1	picomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424396	Figure.1_9 calibration_curve_1pmol-2	Sample collection	Figure.1_9 calibration_curve_1pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_9 calibration_curve_1pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_9 calibration_curve_1pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_9 calibration_curve_1pmol-2			Data processing	Figure.1_9 calibration_curve_1pmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						1	picomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424397	Figure.1_9 calibration_curve_1pmol-3	Sample collection	Figure.1_9 calibration_curve_1pmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_9 calibration_curve_1pmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_9 calibration_curve_1pmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_9 calibration_curve_1pmol-3			Data processing	Figure.1_9 calibration_curve_1pmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						1	picomole
chemical standard	unidentified	32644									phosphoinositide	1	picomole	SAMD00424398	Figure.1_9 calibration_curve_1pmol-4	Sample collection	Figure.1_9 calibration_curve_1pmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_9 calibration_curve_1pmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_9 calibration_curve_1pmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_9 calibration_curve_1pmol-4			Data processing	Figure.1_9 calibration_curve_1pmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						1	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424399	Figure.1_10 calibration_curve_5pmol-1	Sample collection	Figure.1_10 calibration_curve_5pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_10 calibration_curve_5pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_10 calibration_curve_5pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_10 calibration_curve_5pmol-1			Data processing	Figure.1_10 calibration_curve_5pmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424400	Figure.1_10 calibration_curve_5pmol-2	Sample collection	Figure.1_10 calibration_curve_5pmol-2	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_10 calibration_curve_5pmol-2	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_10 calibration_curve_5pmol-2		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_10 calibration_curve_5pmol-2			Data processing	Figure.1_10 calibration_curve_5pmol-2.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424318	Figure.1_10 calibration_curve_5pmol-3	Sample collection	Figure.1_10 calibration_curve_5pmol-3	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_10 calibration_curve_5pmol-3	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_10 calibration_curve_5pmol-3		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_10 calibration_curve_5pmol-3			Data processing	Figure.1_10 calibration_curve_5pmol-3.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	picomole
chemical standard	unidentified	32644									phosphoinositide	5	picomole	SAMD00424319	Figure.1_10 calibration_curve_5pmol-4	Sample collection	Figure.1_10 calibration_curve_5pmol-4	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_10 calibration_curve_5pmol-4	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_10 calibration_curve_5pmol-4		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_10 calibration_curve_5pmol-4			Data processing	Figure.1_10 calibration_curve_5pmol-4.tsv	Metabolite identification	MTBKS201.maf.2.txt						5	picomole
chemical standard	unidentified	32644									phosphoinositide	10	picomole	SAMD00424320	Figure.1_11 calibration_curve_10pmol-1	Sample collection	Figure.1_11 calibration_curve_10pmol-1	Chemical standard	Extraction	100 microL acetonitrile	alkylation	Figure.1_11 calibration_curve_10pmol-1	Chromatography	Nexera X2 HPLC system (Shimadzu)	PAL HTC-xt (CTC Analytics) autosampler	CHIRALPAK IC-3 column [cellulose tris(3,5-dichlorophenylcarbamate), 2.1 mm x 250 mm, 3 µm; DAICEL]	reverse phase		Figure.1_11 calibration_curve_10pmol-1		Mass spectrometry	positive	5-2000	ABSciex QTRAP6500	electrospray ionization	triple quadruple	Figure.1_11 calibration_curve_10pmol-1			Data processing	Figure.1_11 calibration_curve_10pmol-1.tsv	Metabolite identification	MTBKS201.maf.2.txt						10	picomole
